Reaction_ID,Temperature_C,Initial_Conc_A,Model_Type,n1,k1,n2,k2,SSR
RX1,30,50,Parallel,1.0000,1.0653,2.0023,0.0005,0.0000
RX1,30,100,Parallel,1.0001,1.0651,2.0037,0.0005,0.0000
RX1,30,200,Parallel,1.0001,1.0651,2.0061,0.0005,0.0002
RX1,40,50,Parallel,1.0001,1.1843,2.0086,0.0007,0.0000
RX1,40,100,Parallel,1.0001,1.1840,2.0021,0.0007,0.0000
RX1,40,200,Parallel,1.0000,1.1851,2.0027,0.0007,0.0004
RX1,50,50,Parallel,1.0001,1.3334,2.0035,0.0010,0.0000
RX1,50,100,Parallel,1.0002,1.3328,2.0027,0.0010,0.0000
RX1,50,200,Parallel,1.0003,1.3323,2.0026,0.0010,0.0001
RX1,60,50,Parallel,1.0001,1.9817,2.0082,0.0013,0.0000
RX1,60,100,Parallel,1.0002,1.9812,2.0034,0.0013,0.0000
RX1,60,200,Parallel,1.0004,1.9799,1.9984,0.0014,0.0001
RX1,70,50,Parallel,1.0002,3.5946,1.9853,0.0019,0.0000
RX1,70,100,Parallel,1.0002,3.5952,1.9873,0.0019,0.0000
RX1,70,200,Parallel,0.9996,3.6035,1.9617,0.0021,0.0008
RX2,30,50,Series,1.0000,0.5107,1.0000,0.1532,0.0000
RX2,30,100,Series,1.0000,0.5108,1.0000,0.1532,0.0000
RX2,30,200,Series,1.0000,0.5108,1.0000,0.1532,0.0000
RX2,40,50,Series,1.0000,0.7443,1.0000,0.2233,0.0000
RX2,40,100,Series,1.0000,0.7443,1.0000,0.2233,0.0000
RX2,40,200,Series,1.0000,0.7443,1.0000,0.2233,0.0000
RX2,50,50,Series,1.0000,1.0597,1.0000,0.3179,0.0000
RX2,50,100,Series,1.0000,1.0597,1.0000,0.3179,0.0000
RX2,50,200,Series,1.0000,1.0597,1.0000,0.3179,0.0000
RX2,60,50,Series,1.0000,1.4770,1.0000,0.4431,0.0000
RX2,60,100,Series,1.0000,1.4771,1.0000,0.4431,0.0000
RX2,60,200,Series,1.0000,1.4770,1.0000,0.4431,0.0000
RX2,70,50,Series,1.0000,2.0194,1.0000,0.6058,0.0000
RX2,70,100,Series,1.0000,2.0192,1.0000,0.6057,0.0000
RX2,70,200,Series,1.0000,2.0191,1.0000,0.6057,0.0000
RX3,30,50,Series,1.0000,0.1514,1.0006,0.0076,0.0000
RX3,30,100,Series,1.0000,0.1514,1.0004,0.0076,0.0000
RX3,30,200,Series,1.0000,0.1514,1.0008,0.0075,0.0000
RX3,40,50,Series,1.0000,0.1656,1.0005,0.0083,0.0000
RX3,40,100,Series,1.0000,0.1656,1.0002,0.0083,0.0000
RX3,40,200,Series,1.0000,0.1656,1.0005,0.0083,0.0000
RX3,50,50,Series,1.0000,0.1766,1.0002,0.0088,0.0000
RX3,50,100,Series,1.0000,0.1766,1.0002,0.0088,0.0000
RX3,50,200,Series,1.0000,0.1766,1.0006,0.0088,0.0000
RX3,60,50,Series,1.0000,0.2119,1.0001,0.0106,0.0000
RX3,60,100,Series,1.0000,0.2119,1.0004,0.0106,0.0000
RX3,60,200,Series,1.0000,0.2120,1.0018,0.0105,0.0001
RX3,70,50,Series,1.0000,0.2649,0.9988,0.0133,0.0000
RX3,70,100,Series,1.0000,0.2649,1.0003,0.0132,0.0000
RX3,70,200,Series,1.0000,0.2649,1.0009,0.0132,0.0000
